UpperAngle(R)	LowerAngle(R)	UpperLegAV(R)	LowerLegAV(R)
0.457640	-1.127003	-0.093283	0.078117
0.336321	-1.046281	-0.086356	0.059389
0.225369	-0.982020	-0.078639	0.048805
0.225369	-0.982020	-0.078639	0.048805
0.161125	-0.935678	-0.046101	0.036741
0.088067	-0.903280	-0.052558	0.027861
0.088067	-0.903280	-0.052558	0.027861
0.014522	-0.877438	-0.053191	0.023834
-0.045199	-0.848856	-0.043228	0.025142
-0.045199	-0.848856	-0.043228	0.025142
-0.085737	-0.815638	-0.029717	0.027203
-0.085737	-0.815638	-0.029717	0.027203
-0.115456	-0.785686	-0.021725	0.024320
-0.169048	-0.761603	-0.038651	0.021639
-0.216667	-0.731431	-0.035185	0.026098
-0.216667	-0.731431	-0.035185	0.026098
-0.306358	-0.689297	-0.064146	0.033941
-0.352443	-0.652409	-0.033387	0.030712
-0.352443	-0.652409	-0.033387	0.030712
-0.372239	-0.625200	-0.016464	0.025303
-0.372239	-0.625200	-0.016464	0.025303
-0.416450	-0.597281	-0.033225	0.026375
-0.466051	-0.569888	-0.036302	0.026215
-0.466051	-0.538178	-0.036302	0.028840
-0.485064	-0.538178	-0.015521	0.028840
-0.533324	-0.499306	-0.035432	0.034192
-0.567853	-0.450646	-0.025674	0.040854
-0.567853	-0.450646	-0.025674	0.040854
-0.581519	-0.394735	-0.009489	0.045721
-0.594375	-0.332442	-0.009668	0.049795
-0.594375	-0.332442	-0.009668	0.049795
-0.648713	-0.273318	-0.038033	0.047333
-0.682389	-0.224410	-0.022831	0.041009
-0.682389	-0.224410	-0.022831	0.041009
-0.680499	-0.188728	0.001610	0.031932
-0.684562	-0.168682	-0.000017	0.019888
-0.684562	-0.168682	-0.000017	0.019888
-0.680467	-0.152232	0.005771	0.016907
-0.680467	-0.134884	0.005771	0.017430
-0.663304	-0.134884	0.014325	0.017430
-0.677173	-0.122379	-0.008062	0.013823
-0.677173	-0.118614	-0.008062	0.007720
-0.697549	-0.118614	-0.011709	0.007720
-0.710172	-0.132207	-0.007853	-0.003697
-0.710172	-0.178208	-0.007853	-0.022894
-0.708726	-0.178208	0.000402	-0.022894
-0.697468	-0.251283	0.001913	-0.039256
-0.697468	-0.323756	0.001913	-0.041430
-0.723235	-0.323756	-0.019873	-0.041430
-0.748276	-0.370839	-0.014927	-0.027443
-0.783394	-0.383240	-0.022649	-0.004680
-0.783394	-0.383240	-0.022649	-0.004680
-0.839623	-0.372780	-0.034779	0.008570
-0.884793	-0.353464	-0.029422	0.016332
-0.884793	-0.353464	-0.029422	0.016332
-0.928870	-0.334899	-0.029415	0.016514
-0.941384	-0.339310	-0.007655	0.000853
-0.941384	-0.339310	-0.007655	0.000853
-0.949257	-0.387583	-0.006250	-0.027303
-1.019463	-0.461315	-0.051174	-0.042905
-1.019463	-0.461315	-0.051174	-0.042905
-1.076034	-0.536957	-0.040461	-0.043973
-1.076034	-0.536957	-0.040461	-0.043973
-0.951214	-0.604665	0.088370	-0.034006
-0.753557	-0.683259	0.141047	-0.029195
-0.753557	-0.940932	0.141047	-0.154402
-0.606740	-0.940932	0.094857	-0.154402
-0.225284	-1.312849	0.261082	-0.233567
0.715692	-1.835799	0.654358	-0.332205
0.715692	-1.835799	0.654358	-0.332205
1.712971	-2.776600	0.689363	-0.639874
1.712971	-3.989669	0.689363	-0.832100
2.537382	-3.989669	0.565547	-0.832100
3.378647	-5.258412	0.577782	-0.877449
3.378647	-6.384738	0.577782	-0.797691
4.147314	-6.384738	0.534546	-0.797691
4.434650	-7.239522	0.215856	-0.619698
4.373920	-7.840679	-0.017111	-0.435927
4.373920	-7.840679	-0.017111	-0.435927
4.011869	-8.204407	-0.227501	-0.251004
3.903691	-8.198020	-0.105647	0.022429
3.903691	-8.198020	-0.105647	0.022429
3.383968	-7.944768	-0.418493	0.189286
3.383968	-7.686203	-0.418493	0.188242
2.464086	-7.686203	-0.651117	0.188242
1.458179	-7.496086	-0.675863	0.142975
1.458179	-7.355860	-0.675863	0.105646
0.620992	-7.355860	-0.571611	0.105646
-0.203751	-7.307864	-0.564353	0.040030
-1.211843	-7.352846	-0.682591	-0.021348
-1.211843	-7.352846	-0.682591	-0.021348
-1.996749	-7.524591	-0.557512	-0.108958
-2.654140	-7.850001	-0.453651	-0.214450
-2.654140	-7.850001	-0.453651	-0.214450
-3.358510	-8.395064	-0.451205	-0.359118
-4.056597	-9.103334	-0.427989	-0.473276
-4.056597	-9.103334	-0.427989	-0.473276
-4.544024	-9.937354	-0.308356	-0.561683
-4.544024	-10.820401	-0.308356	-0.598777
-5.105136	-10.820401	-0.362208	-0.598777
-5.770883	-11.680995	-0.436813	-0.583326
-6.531187	-12.541176	-0.504471	-0.582258
-6.531187	-12.541176	-0.504471	-0.582258
-7.265128	-13.486258	-0.494789	-0.643485
-8.044843	-14.607003	-0.526178	-0.768898
-8.044843	-14.607003	-0.526178	-0.768898
-8.743083	-15.900433	-0.473066	-0.892716
-8.743083	-17.334770	-0.473066	-0.989773
-8.743083	-17.334770	-0.473066	-0.989773
-10.394822	-18.861887	-0.558090	-1.052093
-11.294263	-20.428604	-0.620025	-1.081477
-11.294263	-20.428604	-0.620025	-1.081477
-12.245987	-22.010941	-0.650541	-1.096360
-13.012830	-23.673805	-0.544384	-1.150310
-13.012830	-23.673805	-0.544384	-1.150310
-13.638915	-25.520363	-0.430973	-1.271470
-13.848817	-27.745890	-0.120507	-1.530709
-13.848817	-27.745890	-0.120507	-1.530709
-13.002540	-30.433504	0.605299	-1.851563
-11.770839	-33.701275	0.881680	-2.262945
-11.770839	-33.701275	0.881680	-2.262945
-10.583661	-37.544498	0.819066	-2.676146
-9.627904	-42.371922	0.654330	-3.367690
